year,geocode,section_key,municipio,pct_otras_prestaciones,pct_otros_ingresos,pct_pensiones,pct_prestaciones_desempleo,pct_sueldos_salarios
2021,20220101_35013_D01_S005,35013_D01_S005,Moya,7.2,11.4,19.0,3.7,58.7
2021,20220101_35013_D01_S006,35013_D01_S006,Moya,5.8,14.8,26.5,3.5,49.5
2021,20220101_35014_D01_S001,35014_D01_S001,La Oliva,4.1,15.1,15.7,8.2,56.9
2021,20220101_35014_D01_S002,35014_D01_S002,La Oliva,3.3,20.6,13.5,7.9,54.8
2021,20220101_35014_D01_S003,35014_D01_S003,La Oliva,3.8,17.2,11.1,14.4,53.6
2021,20220101_35014_D01_S004,35014_D01_S004,La Oliva,1.9,30.6,11.7,8.0,47.8
2021,20220101_35014_D01_S005,35014_D01_S005,La Oliva,3.3,25.8,11.5,8.8,50.7
2021,20220101_35014_D01_S006,35014_D01_S006,La Oliva,3.2,13.1,10.8,15.4,57.5
2021,20220101_35014_D01_S007,35014_D01_S007,La Oliva,4.0,16.0,11.2,14.5,54.3
2021,20220101_35014_D01_S008,35014_D01_S008,La Oliva,4.3,17.2,14.4,14.9,49.2
2021,20220101_35014_D01_S009,35014_D01_S009,La Oliva,2.6,19.2,8.3,12.3,57.6
2021,20220101_35014_D01_S010,35014_D01_S010,La Oliva,3.8,16.5,9.4,13.4,56.9
2021,20220101_35015_D01_S001,35015_D01_S001,Pájara,4.0,9.9,18.6,7.9,59.7
2021,20220101_35015_D02_S001,35015_D02_S001,Pájara,4.3,11.0,13.5,15.7,55.5
2021,20220101_35015_D03_S001,35015_D03_S001,Pájara,2.6,16.5,6.6,16.8,57.5
2021,20220101_35015_D03_S002,35015_D03_S002,Pájara,4.6,5.7,6.8,24.8,58.2
2021,20220101_35015_D04_S001,35015_D04_S001,Pájara,2.0,12.6,8.0,14.6,62.9
2021,20220101_35015_D04_S002,35015_D04_S002,Pájara,3.6,10.5,8.9,16.5,60.6
2021,20220101_35015_D04_S003,35015_D04_S003,Pájara,4.7,10.4,13.7,16.3,55.0
2021,20220101_35015_D04_S004,35015_D04_S004,Pájara,5.5,8.0,8.0,16.9,61.6
2021,20220101_35015_D04_S005,35015_D04_S005,Pájara,4.6,7.5,6.2,19.0,62.8
2021,20220101_35015_D04_S006,35015_D04_S006,Pájara,3.1,21.4,14.0,12.9,48.7
2021,20220101_35016_D01_S001,35016_D01_S001,Las Palmas de Gran Canaria,2.6,24.5,19.8,1.3,51.9
2021,20220101_35016_D01_S003,35016_D01_S003,Las Palmas de Gran Canaria,3.2,27.9,16.3,2.0,50.5
2021,20220101_35016_D01_S004,35016_D01_S004,Las Palmas de Gran Canaria,3.8,25.6,23.4,2.0,45.3
2021,20220101_35016_D01_S005,35016_D01_S005,Las Palmas de Gran Canaria,4.9,14.2,24.1,2.6,54.3
2021,20220101_35016_D01_S006,35016_D01_S006,Las Palmas de Gran Canaria,5.3,5.7,20.3,3.1,65.7
2021,20220101_35016_D01_S007,35016_D01_S007,Las Palmas de Gran Canaria,12.5,3.2,29.5,6.3,48.5
2021,20220101_35016_D01_S008,35016_D01_S008,Las Palmas de Gran Canaria,11.8,2.0,31.6,7.3,47.2
2021,20220101_35016_D01_S010,35016_D01_S010,Las Palmas de Gran Canaria,5.5,5.7,28.2,2.5,58.1
2021,20220101_35016_D01_S011,35016_D01_S011,Las Palmas de Gran Canaria,7.3,3.2,29.8,5.4,54.2
2021,20220101_35016_D01_S012,35016_D01_S012,Las Palmas de Gran Canaria,10.6,3.8,29.4,5.6,50.6
2021,20220101_35016_D01_S013,35016_D01_S013,Las Palmas de Gran Canaria,10.0,2.2,33.5,5.4,49.0
2021,20220101_35016_D01_S014,35016_D01_S014,Las Palmas de Gran Canaria,7.3,3.2,30.2,4.2,55.2
2021,20220101_35016_D01_S015,35016_D01_S015,Las Palmas de Gran Canaria,9.5,6.8,21.9,5.6,56.3
2021,20220101_35016_D01_S017,35016_D01_S017,Las Palmas de Gran Canaria,6.0,4.1,27.2,5.1,57.6
2021,20220101_35016_D01_S018,35016_D01_S018,Las Palmas de Gran Canaria,7.4,3.8,28.5,6.2,54.1
2021,20220101_35016_D01_S019,35016_D01_S019,Las Palmas de Gran Canaria,7.8,7.0,24.9,6.4,54.0
2021,20220101_35016_D01_S020,35016_D01_S020,Las Palmas de Gran Canaria,9.9,4.8,22.9,5.3,57.1
2021,20220101_35016_D01_S021,35016_D01_S021,Las Palmas de Gran Canaria,9.1,4.7,23.8,6.2,56.2
2021,20220101_35016_D01_S023,35016_D01_S023,Las Palmas de Gran Canaria,5.9,6.7,21.0,5.0,61.4
2021,20220101_35016_D01_S024,35016_D01_S024,Las Palmas de Gran Canaria,7.0,15.1,26.3,4.4,47.2
2021,20220101_35016_D01_S025,35016_D01_S025,Las Palmas de Gran Canaria,7.9,4.7,24.7,3.7,59.0
2021,20220101_35016_D01_S026,35016_D01_S026,Las Palmas de Gran Canaria,7.7,5.1,26.4,4.3,56.5
