year,geo_renta,section_key,municipio,distrito,seccion,renta_bruta_media_hogar,renta_bruta_media_persona,renta_neta_uc_media,renta_neta_uc_mediana,renta_ratio_media_mediana,map_year_renta,geo_distribucion_ingresos,pct_otras_prestaciones,pct_otros_ingresos,pct_pensiones,pct_prestaciones_desempleo,pct_sueldos_salarios,geo_ocupacion,casos_alta_cualificacion,casos_ocupacion_no_consta,casos_ocupaciones_elementales,casos_cualificados_bajo,ocupacion_total,ocupacion_total_conocida,pct_alta_cualificacion,pct_ocupaciones_elementales,geo_actividad,casos_agricultura,casos_construccion,casos_industria,casos_actividad_no_consta,casos_servicios,actividad_total_conocida,pct_servicios,pct_industria_construccion,perfil_renta
2021,20220101_38006_D01_S004,38006_D01_S004,Arona,1,4,28767.0,9899.0,13781.0,12950.0,1.0641698841698841,2022,20220101_38006_D01_S004,5.4,9.4,19.8,13.2,52.2,20210101_38006_D01_S004,126.0,34.0,230.0,569.0,959.0,925.0,13.621621621621621,24.864864864864863,20210101_38006_D01_S004,19.0,69.0,37.0,0.0,834.0,959.0,86.96558915537018,11.05318039624609,baja
2021,20220101_38006_D01_S005,38006_D01_S005,Arona,1,5,25903.0,9834.0,13017.0,11550.0,1.127012987012987,2022,20220101_38006_D01_S005,3.5,17.2,16.7,13.7,48.9,20210101_38006_D01_S005,113.0,22.0,143.0,506.0,784.0,762.0,14.829396325459317,18.766404199475065,20210101_38006_D01_S005,15.0,34.0,18.0,0.0,717.0,784.0,91.45408163265306,6.63265306122449,baja
2021,20220101_38006_D01_S006,38006_D01_S006,Arona,1,6,26363.0,11740.0,14142.0,11550.0,1.2244155844155844,2022,20220101_38006_D01_S006,3.3,23.3,19.3,10.0,44.1,20210101_38006_D01_S006,129.0,32.0,66.0,382.0,609.0,577.0,22.357019064124785,11.43847487001733,20210101_38006_D01_S006,7.0,20.0,14.0,0.0,568.0,609.0,93.26765188834155,5.582922824302135,baja
2021,20220101_38006_D01_S007,38006_D01_S007,Arona,1,7,21646.0,7594.0,10333.0,8750.0,1.1809142857142858,2022,20220101_38006_D01_S007,5.9,9.2,13.2,17.1,54.7,20210101_38006_D01_S007,64.0,16.0,265.0,330.0,675.0,659.0,9.711684370257966,40.21244309559939,20210101_38006_D01_S007,73.0,48.0,12.0,0.0,542.0,675.0,80.29629629629629,8.88888888888889,baja
2021,20220101_38006_D01_S008,38006_D01_S008,Arona,1,8,26142.0,10219.0,13401.0,11550.0,1.1602597402597403,2022,20220101_38006_D01_S008,4.1,17.1,14.3,12.7,51.8,20210101_38006_D01_S008,118.0,22.0,159.0,427.0,726.0,704.0,16.761363636363637,22.585227272727273,20210101_38006_D01_S008,46.0,37.0,13.0,0.0,630.0,726.0,86.77685950413223,6.887052341597796,baja
2021,20220101_38006_D01_S009,38006_D01_S009,Arona,1,9,27720.0,9979.0,13748.0,12950.0,1.0616216216216217,2022,20220101_38006_D01_S009,4.7,10.8,15.5,14.4,54.5,20210101_38006_D01_S009,169.0,22.0,192.0,650.0,1033.0,1011.0,16.716122650840752,18.991097922848663,20210101_38006_D01_S009,12.0,62.0,37.0,0.0,922.0,1033.0,89.25459825750242,9.583736689254598,baja
2021,20220101_38006_D01_S010,38006_D01_S010,Arona,1,10,30277.0,10844.0,14846.0,14350.0,1.0345644599303137,2022,20220101_38006_D01_S010,4.0,8.7,15.8,11.7,59.9,20210101_38006_D01_S010,169.0,38.0,174.0,511.0,892.0,854.0,19.789227166276348,20.374707259953162,20210101_38006_D01_S010,10.0,59.0,55.0,0.0,768.0,892.0,86.09865470852019,12.780269058295964,baja
2021,20220101_38006_D01_S011,38006_D01_S011,Arona,1,11,27479.0,10638.0,13942.0,10850.0,1.2849769585253457,2022,20220101_38006_D01_S011,2.3,24.5,12.7,15.3,45.3,20210101_38006_D01_S011,274.0,33.0,172.0,908.0,1387.0,1354.0,20.236336779911372,12.703101920236337,20210101_38006_D01_S011,13.0,39.0,28.0,1.0,1306.0,1386.0,94.22799422799423,4.834054834054834,baja
2021,20220101_38006_D01_S012,38006_D01_S012,Arona,1,12,26325.0,8670.0,12407.0,11550.0,1.0741991341991342,2022,20220101_38006_D01_S012,5.9,7.5,21.0,15.4,50.2,20210101_38006_D01_S012,40.0,15.0,108.0,270.0,433.0,418.0,9.569377990430622,25.83732057416268,20210101_38006_D01_S012,7.0,23.0,24.0,0.0,379.0,433.0,87.52886836027713,10.854503464203233,baja
2021,20220101_38006_D01_S013,38006_D01_S013,Arona,1,13,22568.0,7460.0,10668.0,10150.0,1.0510344827586207,2022,20220101_38006_D01_S013,8.2,5.9,14.3,17.3,54.4,20210101_38006_D01_S013,83.0,34.0,321.0,542.0,980.0,946.0,8.773784355179703,33.9323467230444,20210101_38006_D01_S013,90.0,66.0,36.0,0.0,788.0,980.0,80.40816326530613,10.408163265306122,baja
2021,20220101_38006_D01_S014,38006_D01_S014,Arona,1,14,26902.0,10820.0,13825.0,11550.0,1.196969696969697,2022,20220101_38006_D01_S014,4.0,16.0,16.6,14.7,48.7,20210101_38006_D01_S014,173.0,25.0,132.0,665.0,995.0,970.0,17.835051546391753,13.608247422680412,20210101_38006_D01_S014,15.0,25.0,19.0,0.0,936.0,995.0,94.07035175879398,4.422110552763819,baja
2021,20220101_38006_D01_S015,38006_D01_S015,Arona,1,15,30983.0,12081.0,16034.0,12950.0,1.238146718146718,2022,20220101_38006_D01_S015,3.4,21.2,19.7,11.4,44.3,20210101_38006_D01_S015,229.0,20.0,95.0,596.0,940.0,920.0,24.891304347826086,10.326086956521738,20210101_38006_D01_S015,6.0,22.0,14.0,1.0,897.0,939.0,95.52715654952077,3.8338658146964857,media-baja
2021,20220101_38006_D01_S016,38006_D01_S016,Arona,1,16,19673.0,9497.0,12033.0,10150.0,1.1855172413793102,2022,20220101_38006_D01_S016,5.2,10.4,23.3,12.2,48.9,20210101_38006_D01_S016,316.0,36.0,179.0,847.0,1378.0,1342.0,23.546944858420268,13.338301043219076,20210101_38006_D01_S016,15.0,91.0,45.0,0.0,1227.0,1378.0,89.04208998548621,9.869375907111756,baja
2021,20220101_38006_D01_S017,38006_D01_S017,Arona,1,17,27037.0,10914.0,13975.0,11550.0,1.20995670995671,2022,20220101_38006_D01_S017,3.5,23.9,18.9,13.1,40.6,20210101_38006_D01_S017,53.0,8.0,56.0,195.0,312.0,304.0,17.43421052631579,18.42105263157895,20210101_38006_D01_S017,10.0,9.0,4.0,0.0,289.0,312.0,92.62820512820512,4.166666666666667,baja
2021,20220101_38006_D01_S018,38006_D01_S018,Arona,1,18,23489.0,8051.0,11240.0,9450.0,1.1894179894179895,2022,20220101_38006_D01_S018,5.6,10.5,11.3,17.8,54.9,20210101_38006_D01_S018,305.0,66.0,220.0,980.0,1571.0,1505.0,20.26578073089701,14.617940199335548,20210101_38006_D01_S018,37.0,82.0,48.0,0.0,1404.0,1571.0,89.36982813494589,8.274984086569065,baja
2021,20220101_38006_D01_S019,38006_D01_S019,Arona,1,19,26814.0,11882.0,14772.0,11550.0,1.2789610389610389,2022,20220101_38006_D01_S019,3.4,25.6,18.3,10.2,42.6,20210101_38006_D01_S019,114.0,27.0,75.0,353.0,569.0,542.0,21.03321033210332,13.837638376383763,20210101_38006_D01_S019,4.0,17.0,15.0,0.0,533.0,569.0,93.67311072056239,5.62390158172232,baja
2021,20220101_38006_D01_S020,38006_D01_S020,Arona,1,20,26004.0,11639.0,15272.0,12250.0,1.2466938775510203,2022,20220101_38006_D01_S020,2.7,19.8,23.0,11.6,43.0,20210101_38006_D01_S020,254.0,57.0,109.0,715.0,1135.0,1078.0,23.562152133580707,10.111317254174397,20210101_38006_D01_S020,4.0,43.0,16.0,0.0,1072.0,1135.0,94.44933920704845,5.1982378854625555,baja
2021,20220101_38006_D01_S021,38006_D01_S021,Arona,1,21,24681.0,8792.0,12329.0,11550.0,1.0674458874458874,2022,20220101_38006_D01_S021,4.8,7.8,12.8,15.7,58.9,20210101_38006_D01_S021,89.0,25.0,244.0,492.0,850.0,825.0,10.787878787878787,29.575757575757574,20210101_38006_D01_S021,67.0,55.0,43.0,0.0,685.0,850.0,80.58823529411765,11.529411764705882,baja
2021,20220101_38006_D01_S022,38006_D01_S022,Arona,1,22,30127.0,10571.0,14505.0,12950.0,1.12007722007722,2022,20220101_38006_D01_S022,4.1,15.3,11.6,12.5,56.5,20210101_38006_D01_S022,192.0,39.0,157.0,588.0,976.0,937.0,20.490928495197437,16.755602988260407,20210101_38006_D01_S022,24.0,57.0,38.0,0.0,857.0,976.0,87.80737704918033,9.73360655737705,baja
2021,20220101_38006_D01_S023,38006_D01_S023,Arona,1,23,23980.0,9299.0,12280.0,10850.0,1.1317972350230414,2022,20220101_38006_D01_S023,4.8,8.4,14.3,14.3,58.2,20210101_38006_D01_S023,106.0,27.0,224.0,476.0,833.0,806.0,13.15136476426799,27.791563275434243,20210101_38006_D01_S023,48.0,57.0,26.0,1.0,701.0,832.0,84.2548076923077,9.975961538461538,baja
2021,20220101_38006_D01_S024,38006_D01_S024,Arona,1,24,29058.0,10209.0,14071.0,12950.0,1.0865637065637066,2022,20220101_38006_D01_S024,3.8,9.6,15.6,13.3,57.8,20210101_38006_D01_S024,134.0,26.0,162.0,495.0,817.0,791.0,16.940581542351453,20.480404551201012,20210101_38006_D01_S024,12.0,64.0,25.0,1.0,715.0,816.0,87.62254901960785,10.906862745098039,baja
2021,20220101_38006_D01_S025,38006_D01_S025,Arona,1,25,31162.0,10742.0,14721.0,13650.0,1.0784615384615384,2022,20220101_38006_D01_S025,4.9,9.4,20.5,9.6,55.6,20210101_38006_D01_S025,123.0,20.0,108.0,334.0,585.0,565.0,21.76991150442478,19.115044247787612,20210101_38006_D01_S025,6.0,35.0,23.0,0.0,521.0,585.0,89.05982905982906,9.914529914529915,baja
2021,20220101_38006_D01_S026,38006_D01_S026,Arona,1,26,28944.0,11125.0,14702.0,12950.0,1.1352895752895753,2022,20220101_38006_D01_S026,2.9,21.2,13.2,13.0,49.7,20210101_38006_D01_S026,309.0,55.0,142.0,782.0,1288.0,1233.0,25.060827250608273,11.516626115166261,20210101_38006_D01_S026,11.0,65.0,35.0,0.0,1177.0,1288.0,91.38198757763975,7.763975155279503,baja
2021,20220101_38006_D01_S027,38006_D01_S027,Arona,1,27,27206.0,9862.0,13448.0,12950.0,1.0384555984555985,2022,20220101_38006_D01_S027,4.5,10.7,11.6,15.1,58.1,20210101_38006_D01_S027,138.0,34.0,176.0,638.0,986.0,952.0,14.495798319327731,18.48739495798319,20210101_38006_D01_S027,19.0,67.0,42.0,0.0,858.0,986.0,87.0182555780933,11.05476673427992,baja
2021,20220101_38006_D01_S028,38006_D01_S028,Arona,1,28,32548.0,10771.0,14768.0,13650.0,1.081904761904762,2022,20220101_38006_D01_S028,3.7,11.9,11.5,15.5,57.4,20210101_38006_D01_S028,90.0,34.0,213.0,443.0,780.0,746.0,12.064343163538874,28.552278820375335,20210101_38006_D01_S028,47.0,46.0,36.0,0.0,651.0,780.0,83.46153846153847,10.512820512820513,baja
2021,20220101_38006_D01_S029,38006_D01_S029,Arona,1,29,21224.0,7295.0,10335.0,9450.0,1.0936507936507935,2022,20220101_38006_D01_S029,7.1,7.5,14.9,18.5,51.9,20210101_38006_D01_S029,44.0,13.0,152.0,271.0,480.0,467.0,9.421841541755889,32.54817987152034,20210101_38006_D01_S029,57.0,30.0,13.0,1.0,379.0,479.0,79.12317327766179,8.977035490605427,baja
2021,20220101_38006_D01_S030,38006_D01_S030,Arona,1,30,24645.0,8781.0,12375.0,11550.0,1.0714285714285714,2022,20220101_38006_D01_S030,5.4,7.6,11.6,16.6,58.8,20210101_38006_D01_S030,112.0,33.0,208.0,563.0,916.0,883.0,12.684031710079275,23.556058890147224,20210101_38006_D01_S030,18.0,53.0,21.0,0.0,824.0,916.0,89.95633187772926,8.078602620087336,baja
2021,20220101_38006_D01_S031,38006_D01_S031,Arona,1,31,22191.0,7284.0,10344.0,9450.0,1.0946031746031746,2022,20220101_38006_D01_S031,5.8,6.9,12.0,17.8,57.4,20210101_38006_D01_S031,57.0,28.0,267.0,377.0,729.0,701.0,8.131241084165477,38.088445078459344,20210101_38006_D01_S031,77.0,60.0,22.0,0.0,570.0,729.0,78.18930041152264,11.248285322359397,baja
