year,geo_actividad,section_key,municipio,casos_agricultura,casos_construccion,casos_industria,casos_actividad_no_consta,casos_servicios,actividad_total_conocida,pct_servicios,pct_industria_construccion
2021,20210101_38023_D05_S001,38023_D05_S001,San Cristóbal de La Laguna,61.0,69.0,32.0,0.0,273.0,435.0,62.758620689655174,23.2183908045977
2021,20210101_38023_D05_S002,38023_D05_S002,San Cristóbal de La Laguna,87.0,59.0,36.0,0.0,375.0,557.0,67.32495511669659,17.0556552962298
2021,20210101_38023_D05_S003,38023_D05_S003,San Cristóbal de La Laguna,39.0,31.0,32.0,0.0,339.0,441.0,76.87074829931973,14.285714285714286
2021,20210101_38023_D05_S004,38023_D05_S004,San Cristóbal de La Laguna,37.0,26.0,33.0,0.0,284.0,380.0,74.73684210526316,15.526315789473685
2021,20210101_38023_D05_S005,38023_D05_S005,San Cristóbal de La Laguna,40.0,64.0,62.0,0.0,655.0,821.0,79.78075517661388,15.347137637028014
2021,20210101_38023_D05_S006,38023_D05_S006,San Cristóbal de La Laguna,27.0,43.0,34.0,0.0,363.0,467.0,77.73019271948608,16.488222698072803
2021,20210101_38023_D05_S007,38023_D05_S007,San Cristóbal de La Laguna,22.0,34.0,48.0,1.0,571.0,675.0,84.5925925925926,12.148148148148149
2021,20210101_38023_D05_S008,38023_D05_S008,San Cristóbal de La Laguna,52.0,35.0,32.0,0.0,244.0,363.0,67.21763085399449,18.457300275482094
2021,20210101_38023_D05_S009,38023_D05_S009,San Cristóbal de La Laguna,23.0,50.0,59.0,1.0,947.0,1079.0,87.76645041705282,10.10194624652456
2021,20210101_38023_D05_S010,38023_D05_S010,San Cristóbal de La Laguna,42.0,51.0,54.0,0.0,503.0,650.0,77.38461538461539,16.153846153846153
2021,20210101_38023_D05_S011,38023_D05_S011,San Cristóbal de La Laguna,39.0,26.0,21.0,0.0,274.0,360.0,76.11111111111111,13.055555555555555
2021,20210101_38023_D05_S012,38023_D05_S012,San Cristóbal de La Laguna,59.0,67.0,35.0,0.0,378.0,539.0,70.12987012987013,18.923933209647494
2021,20210101_38023_D05_S013,38023_D05_S013,San Cristóbal de La Laguna,36.0,27.0,12.0,0.0,244.0,319.0,76.48902821316615,12.225705329153605
